depth_ppm,discovery_method,discovery_year,distance_ratio,duration_hours,eccentricity,equilibrium_temp_k,fp_flag_co,fp_flag_ec,fp_flag_nt,fp_flag_ss,impact_parameter,inclination_deg,insolation_flux,label,label_raw,longitude_periastron,mission,object_id,period_days,planet_mass_earth,planet_mass_jupiter,planet_radius_jupiter,planet_radius_rearth,radius_ratio,score,semi_major_axis_au,stellar_age_gyr,stellar_density,stellar_distance_pc,stellar_logg,stellar_luminosity,stellar_mass_msun,stellar_metallicity,stellar_radius_rsun,stellar_teff_k,transit_epoch,transit_ingress_hours,duty_cycle,transit_frequency,planet_radius_from_depth,mission_encoded,stellar_radius_solar,stellar_mass_solar,transit_depth_mag,habitable_zone_inner,habitable_zone_outer,in_habitable_zone,transit_snr,has_radius_measurement,has_mass_measurement,has_stellar_parameters
987.7,,,27.58,4.6509,0.0,657.0,0.0,0.0,0.0,0.0,0.548,88.86,44.17,planet,CONFIRMED,,kepler,K01366.01,19.25404023,1.0,,,3.04,0.03142769479296883,1.0,0.1424,4.6,1.0701,100.0,4.507,1.0,1.038,0.1,0.941,5798.0,164.78424,,0.010064770701894394,0.05193715127082187,0.029573460800183665,0,0.941,1.038,0.0010729115940968478,,,False,31.42769479296883,True,False,True
363.4,,,50.78,4.819,0.0,743.0,0.0,0.0,0.0,0.0,0.125,89.86,71.97,planet,CONFIRMED,,kepler,K00124.02,31.71981013,1.0,,,3.09,0.01906305327065945,1.0,0.1975,4.6,2.4614,100.0,4.024,1.0,1.019,-0.16,1.626,5869.0,142.82083,,0.00633016609632104,0.031526039906973426,0.030996524618092262,0,1.626,1.019,0.00039462824510491337,,,False,19.06305327065945,True,False,True
2949.5,,,76.789,7.9393,0.0,399.0,0.0,0.0,0.0,0.0,0.044,89.97,6.01,planet,CONFIRMED,,kepler,K01478.01,76.13622222,1.0,,,4.78,0.054309299387858063,0.961,0.3403,4.6,1.47766,100.0,4.494,1.0,0.904,-0.06,0.892,5591.0,199.476237,,0.004344898617517284,0.013134352754073382,0.04844389505396939,0,0.892,0.904,0.0032071109512800612,,,False,54.30929938785806,True,False,True
165.5,,,26.04,3.558,0.0,807.0,0.0,0.0,0.0,0.0,0.14,89.69,100.37,planet,CONFIRMED,,kepler,K02871.01,12.0999065,1.0,,,1.39,0.012864680330268607,0.989,0.1011,4.6,2.28077,100.0,4.33,1.0,0.941,0.16,1.098,5553.0,143.04424,,0.012252160791490415,0.08264526672168913,0.014125419002634932,0,1.098,0.941,0.00017970421282133807,,,False,12.864680330268607,True,False,True
1264.7,,,18.114,1.4598,0.0,615.0,0.0,0.0,0.0,0.0,0.051,89.84,33.76,planet,CONFIRMED,,kepler,K01078.01,3.353732008,1.0,,,1.65,0.03556262082580529,1.0,0.034,4.6,9.9961,100.0,4.781,1.0,0.467,-0.34,0.46,3789.0,134.869597,,0.018136511759111313,0.2981752858053648,0.016358805579870433,0,0.46,0.467,0.0013739996100657558,,,False,35.56262082580529,True,False,True
551.7,,,17.51,7.793,0.0,493.0,0.0,0.0,0.0,0.0,0.908,87.03,14.0,planet,CONFIRMED,,kepler,K02967.01,37.3033197,1.0,,,2.31,0.02348829495727606,0.983,0.2082,4.6,0.07304,100.0,4.55,1.0,0.864,-0.28,0.817,5646.0,133.3072,,0.008704542543256099,0.026807265627889945,0.01918993698009454,0,0.817,0.864,0.000599165959296663,,,False,23.48829495727606,True,False,True
807.6,,,24.23,2.1764,0.0,429.0,0.0,0.0,0.0,0.0,0.334,89.21,8.01,planet,CONFIRMED,,kepler,K00899.01,7.11373257,1.0,,,1.16,0.028418303960651838,0.999,0.0551,4.6,5.31573,100.0,4.855,1.0,0.44,0.0,0.411,3561.0,174.32351,,0.012747644424498423,0.14057317872999547,0.011679922927827905,0,0.411,0.44,0.0008771948179262635,,,False,28.418303960651837,True,False,True
13889.0,,,169.35,12.2726,0.0,224.0,0.0,0.0,0.0,0.0,0.75,89.75,0.59,planet,CONFIRMED,,kepler,K00433.02,328.240201,1.0,,,10.99,0.11785160160133591,0.992,0.9084,4.6,0.85283,100.0,4.542,1.0,0.927,0.3,0.854,5234.0,199.203375,,0.0015578784432115716,0.003046549438348656,0.10064526776754086,0,0.854,0.927,0.015185491616963647,,,False,117.85160160133591,True,False,True
189.2,,,9.29,1.906,0.0,1031.0,0.0,0.0,0.0,0.0,0.299,88.15,266.01,planet,CONFIRMED,,kepler,K03136.01,2.39161966,1.0,,,0.93,0.013754999091239518,0.99,0.0306,4.6,2.65201,100.0,4.589,1.0,0.663,-0.42,0.685,4935.0,133.07956,,0.033206227559889966,0.41812668490942245,0.00942217437749907,0,0.685,0.663,0.0002054407252457455,,,False,13.754999091239519,True,False,True
482.9,,,77.89,9.195,0.0,450.0,0.0,0.0,0.0,0.0,0.025,89.98,9.71,planet,CONFIRMED,,kepler,K00351.04,91.9401253,1.0,,,2.62,0.02197498577929005,0.971,0.4105,4.6,1.05759,100.0,4.317,1.0,1.089,0.1,1.2,5970.0,134.3,,0.0041671141816466495,0.01087664386726695,0.02636998293514806,0,1.2,1.089,0.000524428646767938,,,False,21.97498577929005,True,False,True
